"timezone","offset","offset_dst"
"AmericaIndianaWinamac","-18000","-14400"
"AmericaIndianapolis","-18000","-14400"
"AmericaInuvik","-25200","-21600"
"AmericaIqaluit","-18000","-14400"
"AmericaJamaica","-18000","-18000"
"AmericaJujuy","-10800","-10800"
"AmericaJuneau","-32400","-28800"
"AmericaKentuckyLouisville","-18000","-14400"
"AmericaKentuckyMonticello","-18000","-14400"
"AmericaKnox_IN","-21600","-18000"
"AmericaKralendijk","-14400","-14400"
"AmericaLa_Paz","-14400","-14400"
"AmericaLima","-18000","-18000"
"AmericaLos_Angeles","-28800","-25200"
"AmericaLouisville","-18000","-14400"
"AmericaLower_Princes","-14400","-14400"
"AmericaMaceio","-10800","-10800"
"AmericaManagua","-21600","-21600"
"AmericaManaus","-14400","-14400"
"AmericaMarigot","-14400","-14400"
"AmericaMartinique","-14400","-14400"
"AmericaMatamoros","-21600","-18000"
"AmericaMazatlan","-25200","-21600"
"AmericaMendoza","-10800","-10800"
"AmericaMenominee","-21600","-18000"
"AmericaMerida","-21600","-18000"
"AmericaMetlakatla","-28800","-28800"
"AmericaMexico_City","-21600","-18000"
"AmericaMiquelon","-10800","-7200"
"AmericaMoncton","-14400","-10800"
"AmericaMonterrey","-21600","-18000"
"AmericaMontevideo","-10800","-7200"
"AmericaMontreal","-18000","-14400"
"AmericaMontserrat","-14400","-14400"
"AmericaNassau","-18000","-14400"
"AmericaNew_York","-18000","-14400"
"AmericaNipigon","-18000","-14400"
"AmericaNome","-32400","-28800"
"AmericaNoronha","-7200","-7200"
"AmericaNorth_DakotaBeulah","-21600","-18000"
"AmericaNorth_DakotaCenter","-21600","-18000"
"AmericaNorth_DakotaNew_Salem","-21600","-18000"
"AmericaOjinaga","-25200","-21600"
"AmericaPanama","-18000","-18000"
"AmericaPangnirtung","-18000","-14400"
"AmericaParamaribo","-10800","-10800"
"AmericaPhoenix","-25200","-25200"
"AmericaPort-au-Prince","-18000","-14400"
"AmericaPort_of_Spain","-14400","-14400"
"AmericaPorto_Acre","-18000","-18000"
"AmericaPorto_Velho","-14400","-14400"
"AmericaPuerto_Rico","-14400","-14400"
"AmericaRainy_River","-21600","-18000"
"AmericaRankin_Inlet","-21600","-18000"
"AmericaRecife","-10800","-10800"
"AmericaRegina","-21600","-21600"
"AmericaResolute","-21600","-18000"
"AmericaRio_Branco","-18000","-18000"
"AmericaRosario","-10800","-10800"
"AmericaSanta_Isabel","-28800","-25200"
"AmericaSantarem","-10800","-10800"
"AmericaSantiago","-10800","-10800"
"AmericaSanto_Domingo","-14400","-14400"
"AmericaSao_Paulo","-10800","-7200"
"AmericaScoresbysund","-3600","0"
"AmericaShiprock","-25200","-21600"
"AmericaSitka","-32400","-28800"
"AmericaSt_Barthelemy","-14400","-14400"
"AmericaSt_Johns","-12600","-9000"
"AmericaSt_Kitts","-14400","-14400"
"AmericaSt_Lucia","-14400","-14400"
"AmericaSt_Thomas","-14400","-14400"
"AmericaSt_Vincent","-14400","-14400"
"AmericaSwift_Current","-21600","-21600"
"AmericaTegucigalpa","-21600","-21600"
"AmericaThule","-14400","-10800"
"AmericaThunder_Bay","-18000","-14400"
"AmericaTijuana","-28800","-25200"
"AmericaToronto","-18000","-14400"
"AmericaTortola","-14400","-14400"
"AmericaVancouver","-28800","-25200"
"AmericaVirgin","-14400","-14400"
"AmericaWhitehorse","-28800","-25200"
"AmericaWinnipeg","-21600","-18000"
"AmericaYakutat","-32400","-28800"
"AmericaYellowknife","-25200","-21600"
"AntarcticaCasey","28800","28800"
"AntarcticaDavis","25200","25200"
"AntarcticaDumontDUrville","36000","36000"
"AntarcticaMacquarie","39600","39600"
"AntarcticaMawson","18000","18000"
"AntarcticaMcMurdo","43200","46800"
"AntarcticaPalmer","-10800","-10800"
"AntarcticaRothera","-10800","-10800"
"AntarcticaSouth_Pole","43200","46800"
"AntarcticaSyowa","10800","10800"
"AntarcticaTroll","0","7200"
"AntarcticaVostok","21600","21600"
"ArcticLongyearbyen","3600","7200"
"AsiaAden","10800","10800"
"AsiaAlmaty","21600","21600"
"AsiaAmman","7200","10800"
"AsiaAnadyr","43200","43200"
"AsiaAqtau","18000","18000"
"AsiaAqtobe","18000","18000"
"AsiaAshgabat","18000","18000"
"AsiaAshkhabad","18000","18000"
"AsiaBaghdad","10800","10800"
"AsiaBahrain","10800","10800"
"AsiaBaku","14400","18000"
"AsiaBangkok","25200","25200"
"AsiaBeirut","7200","10800"
"AsiaBishkek","21600","21600"
"AsiaBrunei","28800","28800"
"AsiaCalcutta","19800","19800"
"AsiaChita","28800","28800"
"AsiaChoibalsan","28800","32400"
"AsiaChongqing","28800","28800"
"AsiaChungking","28800","28800"
"AsiaColombo","19800","19800"
"AsiaDacca","21600","21600"
"AsiaDamascus","7200","10800"
"AsiaDhaka","21600","21600"
"AsiaDili","32400","32400"
"AsiaDubai","14400","14400"
"AsiaDushanbe","18000","18000"
"AsiaGaza","7200","10800"
"AsiaHarbin","28800","28800"
"AsiaHebron","7200","10800"
"AsiaHo_Chi_Minh","25200","25200"
"AsiaHong_Kong","28800","28800"
"AsiaHovd","25200","28800"
"AsiaIrkutsk","28800","28800"
"AsiaIstanbul","7200","10800"
"AsiaJakarta","25200","25200"
"AsiaJayapura","32400","32400"
"AsiaJerusalem","7200","10800"
"AsiaKabul","16200","16200"
"AsiaKamchatka","43200","43200"
"AsiaKarachi","18000","18000"
"AsiaKashgar","21600","21600"
"AsiaKathmandu","20700","20700"
"AsiaKatmandu","20700","20700"
"AsiaKhandyga","32400","32400"
"AsiaKolkata","19800","19800"
"AsiaKrasnoyarsk","25200","25200"
"AsiaKuala_Lumpur","28800","28800"
"AsiaKuching","28800","28800"
"AsiaKuwait","10800","10800"
"AsiaMacao","28800","28800"
"AsiaMacau","28800","28800"
"AsiaMagadan","36000","36000"
"AsiaMakassar","28800","28800"
"AsiaManila","28800","28800"
"AsiaMuscat","14400","14400"
"AsiaNicosia","7200","10800"
"AsiaNovokuznetsk","25200","25200"
"AsiaNovosibirsk","21600","21600"
"AsiaOmsk","21600","21600"
"AsiaOral","18000","18000"
"AsiaPhnom_Penh","25200","25200"
"AsiaPontianak","25200","25200"
"AsiaPyongyang","30600","30600"
"AsiaQatar","10800","10800"
"AsiaQyzylorda","21600","21600"
"AsiaRangoon","23400","23400"
"AsiaRiyadh","10800","10800"
"AsiaRiyadh87","10800","10800"
"AsiaRiyadh88","10800","10800"
"AsiaRiyadh89","10800","10800"
"AsiaSaigon","25200","25200"
"AsiaSakhalin","36000","36000"
"AsiaSamarkand","18000","18000"
"AsiaSeoul","32400","32400"
"AsiaShanghai","28800","28800"
"AsiaSingapore","28800","28800"
"AsiaSrednekolymsk","39600","39600"
"AsiaTaipei","28800","28800"
"AsiaTashkent","18000","18000"
"AsiaTbilisi","14400","14400"
"AsiaTehran","12600","16200"
"AsiaTel_Aviv","7200","10800"
"AsiaThimbu","21600","21600"
"AsiaThimphu","21600","21600"
"AsiaTokyo","32400","32400"
"AsiaUjung_Pandang","28800","28800"
"AsiaUlaanbaatar","28800","32400"
"AsiaUlan_Bator","28800","32400"
"AsiaUrumqi","21600","21600"
"AsiaVientiane","25200","25200"
"AsiaVladivostok","36000","36000"
"AsiaYakutsk","32400","32400"
"AsiaYekaterinburg","18000","18000"
"AsiaYerevan","14400","14400"
"AtlanticAzores","-3600","0"
"AtlanticBermuda","-14400","-10800"
"AtlanticCanary","0","3600"
"AtlanticCape_Verde","-3600","-3600"
"AtlanticFaeroe","0","3600"
"AtlanticFaroe","0","3600"
"AtlanticJan_Mayen","3600","7200"
"AtlanticMadeira","0","3600"
"AtlanticReykjavik","0","0"
"AtlanticSouth_Georgia","-7200","-7200"
"AtlanticSt_Helena","0","0"
"AtlanticStanley","-10800","-10800"
"AustraliaACT","36000","39600"
"AustraliaAdelaide","34200","37800"
"AustraliaBrisbane","36000","36000"
"AustraliaBroken_Hill","34200","37800"
"AustraliaCanberra","36000","39600"
"AustraliaCurrie","36000","39600"
"AustraliaDarwin","34200","34200"
"AustraliaEucla","31500","31500"
"AustraliaHobart","36000","39600"
"AustraliaLHI","37800","39600"
"AustraliaLindeman","36000","36000"
"AustraliaLord_Howe","37800","39600"
"AustraliaMelbourne","36000","39600"
"AustraliaNSW","36000","39600"
"AustraliaNorth","34200","34200"
"AustraliaPerth","28800","28800"
"AustraliaQueensland","36000","36000"
"AustraliaSouth","34200","37800"
"AustraliaSydney","36000","39600"
"AustraliaTasmania","36000","39600"
"AustraliaVictoria","36000","39600"
"AustraliaWest","28800","28800"
"AustraliaYancowinna","34200","37800"
"BrazilAcre","-18000","-18000"
"BrazilDeNoronha","-7200","-7200"
"BrazilEast","-10800","-7200"
"BrazilWest","-14400","-14400"
"CET","3600","7200"
"CST6CDT","-21600","-18000"
"CanadaAtlantic","-14400","-10800"
"CanadaCentral","-21600","-18000"
"CanadaEast-Saskatchewan","-21600","-21600"
"CanadaEastern","-18000","-14400"
"CanadaMountain","-25200","-21600"
"CanadaNewfoundland","-12600","-9000"
"CanadaPacific","-28800","-25200"
"CanadaSaskatchewan","-21600","-21600"
"CanadaYukon","-28800","-25200"
"ChileContinental","-10800","-10800"
"ChileEasterIsland","-18000","-18000"
"Cuba","-18000","-14400"
"EET","7200","10800"
"EST","-18000","-18000"
"EST5EDT","-18000","-14400"
"Egypt","7200","7200"
"Eire","0","3600"
"EtcGMT","0","0"
"EtcGMT+0","0","0"
"EtcGMT+1","-3600","-3600"
"EtcGMT+10","-36000","-36000"
"EtcGMT+11","-39600","-39600"
"EtcGMT+12","-43200","-43200"
"EtcGMT+2","-7200","-7200"
"EtcGMT+3","-10800","-10800"
"EtcGMT+4","-14400","-14400"
"EtcGMT+5","-18000","-18000"
"EtcGMT+6","-21600","-21600"
"EtcGMT+7","-25200","-25200"
"EtcGMT+8","-28800","-28800"
"EtcGMT+9","-32400","-32400"
"EtcGMT-0","0","0"
"EtcGMT-1","3600","3600"
"EtcGMT-10","36000","36000"
"EtcGMT-11","39600","39600"
"EtcGMT-12","43200","43200"
"EtcGMT-13","46800","46800"
"EtcGMT-14","50400","50400"
"EtcGMT-2","7200","7200"
"EtcGMT-3","10800","10800"
"EtcGMT-4","14400","14400"
"EtcGMT-5","18000","18000"
"EtcGMT-6","21600","21600"
"EtcGMT-7","25200","25200"
"EtcGMT-8","28800","28800"
"EtcGMT-9","32400","32400"
"EtcGMT0","0","0"
"EtcGreenwich","0","0"
"EtcUCT","0","0"
"EtcUTC","0","0"
"EtcUniversal","0","0"
"EtcZulu","0","0"
"EuropeAmsterdam","3600","7200"
"EuropeAndorra","3600","7200"
"EuropeAthens","7200","10800"
"EuropeBelfast","0","3600"
"EuropeBelgrade","3600","7200"
"EuropeBerlin","3600","7200"
"EuropeBratislava","3600","7200"
"EuropeBrussels","3600","7200"
"EuropeBucharest","7200","10800"
"EuropeBudapest","3600","7200"
"EuropeBusingen","3600","7200"
"EuropeChisinau","7200","10800"
"EuropeCopenhagen","3600","7200"
"EuropeDublin","0","3600"
"EuropeGibraltar","3600","7200"
"EuropeGuernsey","0","3600"
"EuropeHelsinki","7200","10800"
"EuropeIsle_of_Man","0","3600"
"EuropeIstanbul","7200","10800"
"EuropeJersey","0","3600"
"EuropeKaliningrad","7200","10800"
"EuropeKiev","7200","10800"
"EuropeLisbon","0","3600"
"EuropeLjubljana","3600","7200"
"EuropeLondon","0","3600"
"EuropeLuxembourg","3600","7200"
"EuropeMadrid","3600","7200"
"EuropeMalta","3600","7200"
"EuropeMariehamn","7200","10800"
"EuropeMinsk","10800","10800"
"EuropeMonaco","3600","7200"
"EuropeMoscow","10800","10800"
"EuropeNicosia","7200","10800"
"EuropeOslo","3600","7200"
"EuropeParis","3600","7200"
"EuropePodgorica","3600","7200"
"EuropePrague","3600","7200"
"EuropeRiga","7200","10800"
"EuropeRome","3600","7200"
"EuropeSamara","14400","14400"
"EuropeSan_Marino","3600","7200"
"EuropeSarajevo","3600","7200"
"EuropeSimferopol","7200","10800"
"EuropeSkopje","3600","7200"
"EuropeSofia","7200","10800"
"EuropeStockholm","3600","7200"
"EuropeTallinn","7200","10800"
"EuropeTirane","3600","7200"
"EuropeTiraspol","7200","10800"
"EuropeUzhgorod","7200","10800"
"EuropeVaduz","3600","7200"
"EuropeVatican","3600","7200"
"EuropeVienna","3600","7200"
"EuropeVilnius","7200","10800"
"EuropeVolgograd","10800","10800"
"EuropeWarsaw","3600","7200"
"EuropeZagreb","3600","7200"
"EuropeZaporozhye","7200","10800"
"EuropeZurich","3600","7200"
"Factory","0","0"
"GB","0","3600"
"GB-Eire","0","3600"
"GMT","0","0"
"GMT+0","0","0"
"GMT-0","0","0"
"GMT0","0","0"
"Greenwich","0","0"
"HST","-36000","-36000"
"Hongkong","28800","28800"
"Iceland","0","0"
"IndianAntananarivo","10800","10800"
"IndianChagos","21600","21600"
"IndianChristmas","25200","25200"
"IndianCocos","23400","23400"
"IndianComoro","10800","10800"
"IndianKerguelen","18000","18000"
"IndianMahe","14400","14400"
"IndianMaldives","18000","18000"
"IndianMauritius","14400","14400"
"IndianMayotte","10800","10800"
"IndianReunion","14400","14400"
"Iran","12600","16200"
"Israel","7200","10800"
"Jamaica","-18000","-18000"
"Japan","32400","32400"
"Kwajalein","43200","43200"
"Libya","7200","7200"
"MET","3600","7200"
"MST","-25200","-25200"
"MST7MDT","-25200","-21600"
"MexicoBajaNorte","-28800","-25200"
"MexicoBajaSur","-25200","-21600"
"MexicoGeneral","-21600","-18000"
"MideastRiyadh87","0","0"
"MideastRiyadh88","0","0"
"MideastRiyadh89","0","0"
"NZ","43200","46800"
"NZ-CHAT","45900","49500"
"Navajo","0","0"
"PRC","0","0"
"PST8PDT","0","0"
"PacificApia","46800","50400"
"PacificAuckland","43200","46800"
"PacificBougainville","39600","39600"
"PacificChatham","45900","49500"
"PacificChuuk","36000","36000"
"PacificEaster","-18000","-18000"
"PacificEfate","39600","39600"
"PacificEnderbury","46800","46800"
"PacificFakaofo","46800","46800"
"PacificFiji","43200","46800"
"PacificFunafuti","43200","43200"
"PacificGalapagos","-21600","-21600"
"PacificGambier","-32400","-32400"
"PacificGuadalcanal","39600","39600"
"PacificGuam","36000","36000"
"PacificHonolulu","-36000","-36000"
"PacificJohnston","-36000","-36000"
"PacificKiritimati","50400","50400"
"PacificKosrae","39600","39600"
"PacificKwajalein","43200","43200"
"PacificMajuro","43200","43200"
"PacificMarquesas","-34200","-34200"
"PacificMidway","-39600","-39600"
"PacificNauru","43200","43200"
"PacificNiue","-39600","-39600"
"PacificNorfolk","39600","39600"
"PacificNoumea","39600","39600"
"PacificPago_Pago","-39600","-39600"
"PacificPalau","32400","32400"
"PacificPitcairn","-28800","-28800"
"PacificPonape","39600","39600"
"PacificPort_Moresby","36000","36000"
"PacificRarotonga","-36000","-36000"
"PacificSaipan","36000","36000"
"PacificSamoa","-39600","-39600"
"PacificTahiti","-36000","-36000"
"PacificTarawa","43200","43200"
"PacificTongatapu","46800","46800"
"PacificTruk","36000","36000"
"PacificWake","43200","43200"
"PacificWallis","43200","43200"
"PacificYap","36000","36000"
"Poland","3600","7200"
"Portugal","0","3600"
"ROC","28800","28800"
"ROK","32400","32400"
"Singapore","28800","28800"
"Turkey","7200","10800"
"UCT","0","0"
"USAlaska","-32400","-28800"
"USAleutian","-36000","-32400"
"USArizona","-25200","-25200"
"USCentral","-21600","-18000"
"USEast-Indiana","-18000","-14400"
"USEastern","-18000","-14400"
"USHawaii","-36000","-36000"
"USIndiana-Starke","-21600","-18000"
"USMichigan","-18000","-14400"
"USMountain","-25200","-21600"
"USPacific","-28800","-25200"
"USPacific-New","-28800","-25200"
"USSamoa","-39600","-39600"
"UTC","0","0"
"Universal","0","0"
"W-SU","10800","10800"
"WET","0","3600"
"Zulu","0","0"
